"record_number","first_name","last_name","transaction_date","card_number","card_expire","card_type","card_sec_code","transaction_amount","user_agent"
"43","Tyler","Morton","2023-10-06","4227014329837029646","07/32","VISA 13 digit","77","5027.99","Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.0)"
"56","Cindy","Sanchez","2023-10-06","3524937176278038","01/24","JCB 16 digit","77","89050.49","Opera/8.33.(X11; Linux i686; fi-FI) Presto/2.9.178 Version/10.00"
"183","Juan","Johnson","2023-10-01","342766806121821","12/31","VISA 16 digit","82","75920.54","""Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/531.2.5 (KHTML"
"204","Marilyn","Hughes","2023-10-02","2267449455379472","12/23","JCB 16 digit","40","75426.62","Opera/9.71.(Windows 98; Win 9x 4.90; gl-ES) Presto/2.9.180 Version/10.00"
"225","Russell","Oneal","2023-10-12","4856376407743937611","07/30","JCB 15 digit","18","6910.36","""Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_9) AppleWebKit/531.0 (KHTML"
"273","Richard","Bush","2023-10-07","30511979515632","03/24","Mastercard","13","9868.01","""Mozilla/5.0 (Linux; Android 4.0.1) AppleWebKit/532.2 (KHTML"
"367","Wesley","Russo","2023-10-08","2246931783102672","12/25","VISA 16 digit","0","96669.31","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML"
"406","John","Contreras","2023-10-04","584320983391","01/31","JCB 15 digit","53","93987.07","Opera/8.17.(X11; Linux x86_64; my-MM) Presto/2.9.178 Version/12.00"
"453","David","Mcintosh","2023-10-07","213153291330975","01/33","Discover","9","18974.49","Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.1)"
"455","Jesus","Hernandez","2023-10-07","501884302651","10/25","Diners Club / Carte Blanche","72","78840.26","""Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; az-AZ) AppleWebKit/533.21.2 (KHTML"
"462","Matthew","Hicks","2023-10-11","4198817218998152","07/25","Maestro","39","35156.86","Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.0)"
"508","Brian","Ramirez","2023-10-11","343312199130555","10/26","JCB 15 digit","18","8028.83","""Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.1 (KHTML"
"572","James","Young","2023-10-13","6538859583336265","07/27","JCB 15 digit","26","43858.11","Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/3.0)"
"575","Patricia","Allen","2023-10-13","30299254012703","12/29","Mastercard","41","6704.04","Opera/8.43.(X11; Linux x86_64; th-TH) Presto/2.9.176 Version/10.00"
"630","Joshua","Contreras","2023-10-10","4267525874201623","08/24","VISA 16 digit","18","56360.34","Mozilla/5.0 (Windows NT 5.1; ka-GE; rv:1.9.0.20) Gecko/5593-11-21 02:19:32 Firefox/3.6.8"
"699","Toni","Adams","2023-10-07","341919713156130","03/28","VISA 16 digit","87","9654.18","""Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/531.14.6 (KHTML"
"731","Pamela","Anderson","2023-10-05","4267194915833447","06/27","VISA 13 digit","2","7159.73","Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2911-11-02 01:13:30 Firefox/8.0"
"751","Darlene","Perry","2023-10-07","501813831267","08/32","Mastercard","96","20056.24","Opera/9.70.(Windows NT 6.1; ky-KG) Presto/2.9.168 Version/10.00"
"765","Angela","Harris","2023-10-04","3541861265583638","06/26","Diners Club / Carte Blanche","65","5305.32","""Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_6) AppleWebKit/532.2 (KHTML"
"783","Michael","Johnson","2023-10-06","3534872883710098","10/28","VISA 16 digit","40","6835.25","""Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.43.6 (KHTML"
"802","Max","Johnson","2023-10-13","3562053857266285","05/28","Maestro","27","56862.80","Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_5; rv:1.9.4.20) Gecko/6824-11-13 10:12:01 Firefox/3.8"
"834","Desiree","Ingram","2023-10-07","574117810329","04/25","VISA 19 digit","48","59897.23","""Mozilla/5.0 (Linux; Android 2.2.3) AppleWebKit/533.0 (KHTML"
"987","William","Turner","2023-10-13","4455527389529714","03/30","VISA 16 digit","55","6299.24","""Mozilla/5.0 (Linux; Android 2.1) AppleWebKit/533.1 (KHTML"
